{'timestamp': 1569792474000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 129.250.35.251 43361 123 17 1 76 1569792474 1569792531 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792474000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 44.190.6.254 58745 123 17 1 76 1569792474 1569792531 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792537000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 47592 17 1 76 1569792537 1569792591 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792537000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 59970 17 1 76 1569792537 1569792591 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792537000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 47592 123 17 1 76 1569792537 1569792591 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792537000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 59970 123 17 1 76 1569792537 1569792591 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792657000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.21.210.146 33619 123 17 1 76 1569792657 1569792711 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792657000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 172.20.196.146 59398 123 17 1 76 1569792657 1569792711 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792657000, 'message': '2 926668386439 eni-028f9998471142aba 172.21.210.146 172.24.5.198 123 33619 17 1 76 1569792657 1569792711 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792657000, 'message': '2 926668386439 eni-028f9998471142aba 172.20.196.146 172.24.5.198 123 59398 17 1 76 1569792657 1569792711 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
{'timestamp': 1569792711000, 'message': '2 926668386439 eni-028f9998471142aba 172.24.5.198 108.59.2.24 47046 123 17 1 76 1569792711 1569792771 ACCEPT OK', 'ingestionTime': 1569792861153, 'hostname': 'naaws-imaging'}
