{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 52.94.235.158 49537 443 6 15 3181 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 10.45.2.150 49534 443 6 3 152 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.198.174 172.24.33.13 53 65475 17 1 139 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.24.198.174 52404 53 17 1 73 1569824605 1569824664 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 54.239.28.168 172.24.33.13 443 49535 6 22 6844 1569824605 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 135 58615 6 18 15379 1569824605 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58614 135 6 28 1536 1569824605 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58615 135 6 31 13380 1569824605 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 54.239.28.168 49535 443 6 16 2944 1569824605 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 49155 58618 6 75 66087 1569824605 1569824785 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58618 49155 6 52 8556 1569824605 1569824785 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58617 49155 6 755 132497 1569824605 1569824845 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 1433 58619 6 1974 2515474 1569824605 1569824845 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.20.192.36 172.24.33.13 58619 1433 6 3192 421272 1569824605 1569824845 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824605000, 'message': '2 926668386439 eni-05476f54 172.24.33.13 172.20.192.36 49155 58617 6 1057 685403 1569824605 1569824845 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824664000, 'message': '2 926668386439 eni-05476f54 172.24.198.174 172.24.33.13 53 56591 17 1 265 1569824664 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
{'timestamp': 1569824664000, 'message': '2 926668386439 eni-05476f54 172.20.193.99 172.24.33.13 48500 161 17 4 300 1569824664 1569824725 ACCEPT OK', 'ingestionTime': 1569824881081, 'hostname': 'pwmssql01'}
