{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 64737 53 17 1 61 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 64737 17 1 296 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 33906 53 17 1 61 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 24415 17 1 296 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 24415 53 17 1 61 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799494000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 33906 17 1 296 1569799494 1569799553 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 18841 17 1 296 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 18841 53 17 1 61 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 43708 17 1 296 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 52974 17 1 296 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 42712 53 17 1 61 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 42712 17 1 296 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 52974 53 17 1 61 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799554000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 43708 53 17 1 61 1569799554 1569799613 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 40987 53 17 1 61 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.21.192.200 57488 53 17 1 61 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 30535 17 1 296 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 57488 17 1 296 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.21.192.200 172.24.231.239 53 40987 17 1 296 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.20.192.200 172.24.231.239 53 16118 17 1 296 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 30535 53 17 1 61 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
{'timestamp': 1569799614000, 'message': '2 647523064133 eni-a96615b5 172.24.231.239 172.20.192.200 16118 53 17 1 61 1569799614 1569799673 ACCEPT OK', 'ingestionTime': 1569799935847, 'hostname': 'pnawsblox02'}
