{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.138 443 47672 6 23 9886 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47674 443 6 20 1880 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39634 443 6 19 1956 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816620000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39968 6 52 34625 1569816620 1569816632 ACCEPT OK', 'ingestionTime': 1569816669072, 'hostname': 'plnasgit'}
{'timestamp': 1569816643000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.21.210.146 123 123 17 1 76 1569816643 1569816647 ACCEPT OK', 'ingestionTime': 1569816691992, 'hostname': 'plnasgit'}
{'timestamp': 1569816643000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39830 443 6 82 5536 1569816643 1569816647 ACCEPT OK', 'ingestionTime': 1569816691992, 'hostname': 'plnasgit'}
{'timestamp': 1569816643000, 'message': '2 926668386439 eni-e720cdb7 172.21.210.146 172.24.32.195 123 123 17 1 76 1569816643 1569816647 ACCEPT OK', 'ingestionTime': 1569816691992, 'hostname': 'plnasgit'}
{'timestamp': 1569816643000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.195 172.24.32.213 443 39830 6 135 66268 1569816643 1569816647 ACCEPT OK', 'ingestionTime': 1569816691992, 'hostname': 'plnasgit'}
{'timestamp': 1569816659000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.138 172.24.32.195 47706 443 6 28 2504 1569816659 1569816673 ACCEPT OK', 'ingestionTime': 1569816710959, 'hostname': 'plnasgit'}
{'timestamp': 1569816659000, 'message': '2 926668386439 eni-e720cdb7 172.24.32.213 172.24.32.195 39832 443 6 32 2744 1569816659 1569816673 ACCEPT OK', 'ingestionTime': 1569816710959, 'hostname': 'plnasgit'}
