{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5795 17613 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1318 53103 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1417 45720 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6299 20581 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1660 6218 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5105 42536 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5725 53633 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4205 2551 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3952 45850 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2182 25861 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4332 28632 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3440 57212 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6790 58344 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2361 57892 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5836 65405 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2891 62536 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2258 40092 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4073 42272 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3166 32018 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 916 11670 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5233 45658 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6706 40572 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2018 30577 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 2919 3408 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4388 62475 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1619 672 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5669 46350 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6647 22831 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 213 10662 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6637 1993 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5713 62418 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4929 50950 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4012 16992 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1336 42064 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 995 52901 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3471 19268 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 5051 14728 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1729 36410 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 523 33396 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4593 53823 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4762 37945 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6600 8934 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 254 29947 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4927 26156 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 4251 32779 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3279 19587 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 6682 15677 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 3939 37066 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
{'timestamp': 1569821119000, 'message': '2 693538057230 eni-be37baef 64.39.99.27 172.24.81.61 1486 1761 6 1 44 1569821119 1569821179 REJECT OK', 'ingestionTime': 1569821763763, 'hostname': 'NAT-1A'}
