{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56338 6 6 664 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 52903 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56276 6 6 661 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 55990 80 6 7 498 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56287 6 6 657 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 57042 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.24.198.174 52322 53 17 2 156 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.24.198.174 172.22.15.116 53 41489 17 2 399 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56231 6 10 7132 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56263 80 6 6 469 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.20.192.80 172.22.15.116 80 56191 6 10 7170 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56290 80 6 9 632 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
{'timestamp': 1569627696000, 'message': '2 858737304353 eni-5c925a07 172.22.15.116 172.20.192.80 56322 80 6 9 627 1569627696 1569627756 ACCEPT OK', 'ingestionTime': 1569627929298, 'hostname': 'qldevops01'}
