{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.21.192.35 172.24.98.145 41172 25 6 15 5089 1569764713 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764713000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.21.192.35 25 41172 6 22 2706 1569764713 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 48751 53 17 1 78 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 35966 17 1 288 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.192.212 53800 25 6 5 300 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 35966 53 17 1 73 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 55143 53 17 1 79 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.20.194.227 48743 25 6 16 6187 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 53124 17 1 257 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.20.194.227 172.24.98.145 25 48743 6 15 1727 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.98.145 172.24.198.174 53124 53 17 1 73 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 55143 17 1 263 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
{'timestamp': 1569764754000, 'message': '2 693538057230 eni-7bbc845c 172.24.198.174 172.24.98.145 53 33046 17 1 132 1569764754 1569764805 ACCEPT OK', 'ingestionTime': 1569765034058, 'hostname': 'zimbra-zimbra-1'}
