{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 49579 53 17 2 160 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 51953 53 17 2 164 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.20.192.27 172.22.1.172 389 54038 6 4 988 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 38020 17 2 272 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 34817 53 17 2 164 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.24.198.174 172.22.1.172 53 58749 17 2 551 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601671000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 41054 53 17 2 122 1569601671 1569601722 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601732000, 'message': '2 858737304353 eni-e1c0e3ac 172.20.192.187 172.22.1.172 8383 46556 6 7 3297 1569601732 1569601782 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601732000, 'message': '2 858737304353 eni-e1c0e3ac 172.20.192.187 172.22.1.172 8383 46558 6 37 45560 1569601732 1569601782 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
{'timestamp': 1569601732000, 'message': '2 858737304353 eni-e1c0e3ac 172.22.1.172 172.24.198.174 50025 53 17 1 86 1569601732 1569601782 ACCEPT OK', 'ingestionTime': 1569601926193, 'hostname': 'qlawshaarp'}
